system:index,City,Latitude,Longitude,Population,average_masked_max,average_masked_mean,average_masked_min,average_masked_stdDev,city,.geo
0000000000000000013b,Permi,22.6204,76.1126,3697,25.37912940979004,1.28238593388692,0.0,2.230544757142896,Permi,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,Kannankulam,10.4799,76.1131,3243170,27.641128540039062,1.8393330300604254,0.0,2.1727831931178203,Kannankulam,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c,Shivni,22.671,76.1391,6432,16.1299991607666,1.2477311630980767,0.0,1.7071303393183115,Shivni,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,Elangunnapuzha,10.0167,76.2167,26997,128.56398010253906,4.294448922939149,0.0,8.03062352349934,Elangunnapuzha,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,Edavanakad,10.015,76.22,24856,128.56398010253906,4.397439029787817,0.0,8.343976447647618,Edavanakad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,Vypīn,9.9833,76.2417,176567,146.25064086914062,4.738450335306149,0.0,8.910458836913563,Vypīn,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,Kochi,9.9667,76.2833,677381,146.25064086914062,4.994116882998452,0.0,8.8168667488954,Kochi,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,Edappalli,9.8167,76.3,33829,146.25064086914062,3.1229212464990224,0.0,8.208991284789985,Edappalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,Kandakkadava,9.7,76.3,20487,10.059211730957031,0.9976811419278485,0.0,1.3482487823261593,Kandakkadava,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,Kalamasseri,10.0614,76.3263,70776,146.25064086914062,5.919635537254588,0.0,8.751015613194888,Kalamasseri,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,Alleppey,9.4978,76.3286,240991,14.472590446472168,0.8553592178653894,0.0,1.654386758082935,Alleppey,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,Tripunittura,9.9487,76.3464,92521,146.25064086914062,5.198626431893213,0.0,8.726693129229218,Tripunittura,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,Mannanchōri,9.5764,76.3481,32139,16.223379135131836,1.1751167635379154,0.0,1.8260164288210192,Mannanchōri,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9,Perumbalam,9.8462,76.3591,9733,146.25064086914062,4.038427850746074,0.0,8.662419211538843,Perumbalam,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,Mūlampilli,10.1083,76.4167,23272,146.25064086914062,4.784094363280888,0.0,8.14179164284402,Mūlampilli,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,Peringuzha,9.9667,76.4167,22378,146.25064086914062,5.347230334585932,0.0,8.657819866710266,Peringuzha,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4,Nīrkunnam,9.35,76.5167,10770,13.991345405578613,1.6107294872286175,0.0,1.4554410007800895,Nīrkunnam,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0,Valavakāttumūla,9.98,76.52,15966,146.25064086914062,2.831620618738319,0.0,7.3520128857375076,Valavakāttumūla,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,Kottārasshēri,10.6167,76.5333,2952254,16.18124008178711,1.0282881350531081,0.0,1.3525546155418087,Kottārasshēri,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba,Madappalli,9.0833,76.5333,23341,18.19316291809082,1.6745660333424073,0.0,1.6788732349169906,Madappalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7,Perunturuttu,9.6333,76.5667,18691,16.371234893798828,1.2362925808619187,0.0,1.3815574133146742,Perunturuttu,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,Munro Turuttu,8.9884,76.5737,397419,23.44762420654297,2.030126456526242,0.0,2.281347946337709,Munro Turuttu,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd,Cherakara,8.9,76.5833,17342,23.44762420654297,1.7465988861301702,0.0,2.3241814637547984,Cherakara,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,Quilon,8.8853,76.5864,397419,23.44762420654297,1.6944342291192878,0.0,2.316940435636662,Quilon,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,Perunād,8.9563,76.64,35173,23.44762420654297,2.26537279457825,0.0,2.17661129276955,Perunād,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,Mayyanād,8.8389,76.6467,40039,23.44762420654297,1.777821994049152,0.0,2.1973445533791645,Mayyanād,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,Kumbalam,8.992,76.6621,4000,23.44762420654297,2.4167368836560255,0.0,2.0975107963547117,Kumbalam,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,Ittikara,8.8633,76.6972,185008,23.44762420654297,2.0503997488907197,0.0,2.105145701255053,Ittikara,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2,Sohāna,30.6833,76.7,20000,56.13978958129883,10.244831528729204,0.0,11.229701465169573,Sohāna,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000159,Dhurali,30.6432,76.7032,2691,56.13978958129883,10.358709271333117,0.0,11.241289551329197,Dhurali,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,Bahlolpur,30.759,76.7034,4993,56.13978958129883,9.503384788582737,0.0,11.338142145767458,Bahlolpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,Palliman,8.9,76.7139,20677,23.44762420654297,2.218764438728002,0.0,2.0156653121858126,Palliman,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,Mauli,30.7194,76.7181,176152,56.13978958129883,10.042497443614732,0.0,11.29273098821962,Mauli,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011d,Manauli,30.6444,76.7217,4843,56.13978958129883,10.451439106170177,0.0,11.163935010717095,Manauli,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015e,Mota Mazra,30.6214,76.725,2563,56.13978958129883,10.467036335477305,0.0,11.166748202066843,Mota Mazra,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012c,Togān,30.7699,76.7336,4197,56.13978958129883,9.922245382307782,0.0,11.325471004030922,Togān,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104,Dhanas,30.7688,76.7541,7094,56.13978958129883,10.165650652939869,0.0,11.329408191419054,Dhanas,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3,Khizrpur,30.5843,76.7572,19817,56.13978958129883,9.900978379715559,0.0,11.06049853692576,Khizrpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013e,Diālpura,30.6395,76.7867,3556,56.13978958129883,10.304726958103924,0.0,11.119828197489236,Diālpura,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,Chandīgarh,30.7364,76.7883,1026459,56.13978958129883,10.192673796678289,0.0,11.255731562696077,Chandīgarh,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,Bhabāt,30.658,76.8065,7743,56.13978958129883,10.275398651085379,0.0,11.156354801528414,Bhabāt,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,Abhepur,30.6667,76.8333,1895686,56.13978958129883,10.048217412712365,0.0,11.2136173349354,Abhepur,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,Kalleli,9.2,76.8833,1197412,9.272971153259277,0.8507166584384925,0.0,1.0458085507763666,Kalleli,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,Kair,28.6158,76.91,4074,199.22323608398438,13.464902017919238,0.0,16.865992104191932,Kair,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015b,Bendravādi,12.3636,76.9137,2684,54.408592224121094,2.048460941093107,0.0,4.35077263072332,Bendravādi,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,Ayirūrpāra,8.503,76.9522,25000,60.87819290161133,3.5282881520015903,0.0,5.130782686174929,Ayirūrpāra,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,Thiruvananthapuram,8.4875,76.9525,743691,60.87819290161133,3.4949071841483326,0.0,5.152907491244048,Thiruvananthapuram,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3,Tonakkal,8.6312,76.9555,13567,60.87819290161133,3.2814823265364144,0.0,4.944086849994841,Tonakkal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,Coimbatore,11.0008,76.9633,2136916,48.09990692138672,5.813332995196232,0.0,6.234612991489571,Coimbatore,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010d,Daryāpur Kalān,28.7614,76.9842,6310,95.86357879638672,15.245409674219403,0.0,16.838355843344626,Daryāpur Kalān,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,Najafgarh,28.6125,76.9847,1365152,199.22323608398438,21.613329085559847,0.0,20.5945868888617,Najafgarh,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,Dharampur,28.6,76.99,30856,199.22323608398438,22.401567985663537,0.0,20.57382295818049,Dharampur,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,Gurgaon,28.4667,77.0333,876824,199.22323608398438,21.053068020564545,0.0,19.022716001579695,Gurgaon,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,Nāngloi Jāt,28.6833,77.0667,205596,199.22323608398438,26.93502914201849,0.0,21.823191507461964,Nāngloi Jāt,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,Sultānpur Mazra,28.6906,77.0778,163716,199.22323608398438,27.213253035060717,0.0,21.75533737825094,Sultānpur Mazra,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,Narela,28.85,77.1,809913,95.86357879638672,12.805799841550668,0.0,14.845930985290916,Narela,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,Vayakkalattu,8.5285,77.1035,26384,48.87080764770508,2.59800480135736,0.0,4.200673314896452,Vayakkalattu,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9,Mannara,8.5614,77.1263,18343,30.998849868774414,1.6623256246158276,0.0,2.728752217929574,Mannara,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,Delhi Cantonment,28.5903,77.1319,110351,199.22323608398438,35.04451631408671,3.156352996826172,20.011097969846688,Delhi Cantonment,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5,Oruvadālkotta,8.4778,77.1347,19345,48.05803298950195,2.2611382214928972,0.0,3.2309731884652306,Oruvadālkotta,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,Bhālswa Jahangirpur,28.7354,77.1638,151427,126.5588607788086,26.510350476390208,0.0,21.11808400473204,Bhālswa Jahangirpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9,Bakhtāwarpur,28.8233,77.1717,12716,95.86357879638672,15.724065121820834,0.0,16.995275749415786,Bakhtāwarpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,Shimla,31.1033,77.1722,206575,27.049978256225586,0.6425714517201049,0.0,1.6318090257807385,Shimla,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,New Delhi,28.6139,77.2089,249998,199.22323608398438,37.58526176513545,0.0,19.393627606322045,New Delhi,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,Delhi,28.66,77.23,16349831,199.22323608398438,35.2248337246025,2.2353827953338623,20.9674863707215,Delhi,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,Madangir,28.57,77.23,23448,199.22323608398438,36.703581718594386,0.0,20.233963981827397,Madangir,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,Murtazābād,28.7111,77.2688,189117,119.13768005371094,28.725129605946076,0.0,21.73334357029862,Murtazābād,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,Loni,28.75,77.28,516082,119.13768005371094,23.214618056923307,0.0,21.783708529983087,Loni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,Farīdābād,28.4167,77.3,1404653,93.31974029541016,17.74858759157893,0.0,16.422034854125737,Farīdābād,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,Mandoli,28.7075,77.3003,120417,119.13768005371094,28.053433799430007,0.0,21.691716925040183,Mandoli,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,Dalūpura,28.6067,77.3189,132628,160.7947540283203,32.399415592141374,0.0,19.46606882209181,Dalūpura,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011c,Sondekoppa,13.0,77.3667,4866,106.12422943115234,11.255749832066396,0.0,18.126374387730138,Sondekoppa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,Nādampālaiyam,11.1793,77.376,3458045,45.12118911743164,3.554331844655878,0.0,4.50194824354447,Nādampālaiyam,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000126,Basavanhalli,13.1104,77.3877,4510,106.12422943115234,8.545719626768047,0.0,14.903506340331921,Basavanhalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f,Vājarhalli,13.1022,77.4111,3009,106.12422943115234,11.121564574710485,0.0,17.761217381556634,Vājarhalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,Ghāziābād,28.6667,77.4167,2375820,114.24181365966797,23.2529820341331,0.0,19.630929108649134,Ghāziābād,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,Bhopāl,23.25,77.4167,1798218,67.0044937133789,7.302652253778806,0.0,9.891676425077563,Bhopāl,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000155,Kitanelli,13.0095,77.4191,2827,106.12422943115234,16.661338275709372,0.0,21.637238335999214,Kitanelli,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000124,Kadabgeri,12.9965,77.4331,4573,106.12422943115234,18.924719899551647,0.0,22.862927026552857,Kadabgeri,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,Mādnāikanhalli,13.0626,77.4642,7805,122.92369079589844,20.01768878119058,0.0,23.271098763129554,Mādnāikanhalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015d,Kodagihalli,12.9771,77.4651,2585,122.92369079589844,23.290494511545987,0.0,24.14759965715224,Kodagihalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000150,Cāchohalli,13.001,77.4717,2946,122.92369079589844,23.87767954863261,0.0,24.09773649403539,Cāchohalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000123,Mādavar,13.0525,77.4732,4678,122.92369079589844,21.740824971597494,0.0,23.68546519888123,Mādavar,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec,Hesarghatta,13.1391,77.4783,9485,122.92369079589844,14.487770849970975,0.0,19.591357557304228,Hesarghatta,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151,Kasgatpur,13.1101,77.5045,2852,122.92369079589844,19.36534099198577,0.0,22.57110388936484,Kasgatpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,Sahāranpur,29.964,77.546,705478,62.343326568603516,3.2855490313850573,0.0,6.23566292933975,Sahāranpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,Bayandhalli,12.9779,77.5688,5118,132.3131561279297,33.09596353093895,2.08309268951416,23.167556396011694,Bayandhalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,Bangalore,12.9791,77.5913,10456000,132.3131561279297,34.03274621727448,2.6374034881591797,22.61421187056715,Bangalore,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,Yelahanka,13.1139,77.5983,300000,231.87803649902344,24.003277289388798,0.0,24.727463322427333,Yelahanka,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000139,Doddajīvanhalli,13.0086,77.6143,3792,132.3131561279297,33.766993309882615,0.0,22.7768149817213,Doddajīvanhalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000132,Sonnappanhalli,13.1557,77.6179,3996,231.87803649902344,18.031956739493804,0.0,21.814291939547555,Sonnappanhalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,Kādiganahalli,13.1687,77.6283,7225,231.87803649902344,16.058467752589966,0.0,20.47862346834811,Kādiganahalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014a,Huttanhalli,13.1651,77.6512,3240,231.87803649902344,16.21464780093716,0.0,20.50208049832485,Huttanhalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,Bāgalūr,13.1328,77.6685,7519,231.87803649902344,19.93179308473073,0.0,22.369048458397458,Bāgalūr,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015f,Mailanhalli,13.1863,77.6963,2543,231.87803649902344,12.535193658706405,0.0,17.727377235669277,Mailanhalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,Meerut,28.98,77.7064,1571434,63.184329986572266,5.313855552003868,0.0,6.91850218905134,Meerut,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,Harbatpur,30.45,77.73,1696694,31.897903442382812,1.3135945963832205,0.0,2.246227899233109,Harbatpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0,Akola,27.0655,77.8808,11351,53.93385696411133,4.10449751610479,0.0,7.467936752872968,Akola,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,Gumānwāla,29.9333,77.9,1890422,46.33570861816406,3.7642977126933124,0.0,5.267894539433077,Gumānwāla,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,Saundhonwāli,30.3331,77.9608,1696694,41.98568344116211,4.330698214165795,0.0,7.368622275991239,Saundhonwāli,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,Āgra,27.18,78.02,1760285,53.93385696411133,5.8779770005039245,0.0,8.485964071431638,Āgra,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108,Vīrapāndi,11.5757,78.0729,6862,42.779327392578125,3.6778525253641763,0.0,4.503726207008304,Vīrapāndi,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,Tirupparangunram,9.8815,78.0731,51543,43.6648063659668,3.153548221880299,0.0,4.296122506107239,Tirupparangunram,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015c,Nedumadurai,9.7959,78.0867,2593,43.6648063659668,2.6717744209362677,0.0,4.329472423480367,Nedumadurai,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000113,Valaiyankulam,9.8082,78.094,5712,43.6648063659668,2.826753919222601,0.0,4.359271853504673,Valaiyankulam,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,Peyanvilai,8.5674,78.1046,1750176,32.60924530029297,1.2488298307822527,0.0,2.2868612905292096,Peyanvilai,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7,Neykkārappatti,11.6225,78.1058,13027,42.779327392578125,3.724280072528313,0.0,4.511704471210691,Neykkārappatti,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,Madurai,9.9197,78.1194,1561129,43.6648063659668,3.254160114401898,0.0,4.275795183629581,Madurai,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144,Solankuruni,9.8067,78.1198,3422,43.6648063659668,2.829861458370747,0.0,4.35819690084268,Solankuruni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011e,Parappatti,11.5853,78.1281,4837,42.779327392578125,3.601349630982285,0.0,4.528539071443759,Parappatti,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137,Pallappatti,11.6604,78.1369,3879,42.779327392578125,3.6268320274458277,0.0,4.573649338964924,Pallappatti,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000141,Panaiyūr,9.8762,78.1564,3454,43.6648063659668,3.0766068445432144,0.0,4.324102261607604,Panaiyūr,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5,Panamarattuppatti,11.562,78.1649,10725,42.779327392578125,3.417431427295134,0.0,4.535218780757973,Panamarattuppatti,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,Salem,11.65,78.1667,693236,42.779327392578125,3.455978906051939,0.0,4.5968195410936525,Salem,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,Gwalior,26.2125,78.1775,1069276,97.34329223632812,4.642142492103825,0.0,8.137995300075039,Gwalior,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000129,Tippampatti,11.568,78.2014,4411,42.779327392578125,3.1943860974590725,0.0,4.531603790295893,Tippampatti,"{""type"":""MultiPoint"",""coordinates"":[]}"
